id,t,d+1,d,L,eps,U
0,1,0.0,0.0,1.0,0.4931038197914106,62.90925246683425
0,2,0.0,0.0,1.0,-0.12098476788444215,61.21184840857072
0,3,0.0,0.0,1.0,-0.9790495755202757,59.2704681303472
0,4,1.0,0.0,0.0,-2.922597742829597,58.1662022352798
0,5,1.0,1.0,1.0,-0.9830006165044791,57.099886148187636
0,6,1.0,1.0,1.0,0.014532422663954454,57.01410371676838
0,7,1.0,1.0,1.0,-0.2531173073671844,55.663138516149566
0,8,2.0,1.0,0.0,-1.0401358268007637,53.832940352929064
0,9,3.0,2.0,0.0,-1.7634586502869967,52.74962488234138
0,10,3.0,3.0,1.0,-0.2024527709844048,52.46385664076929
0,11,3.0,3.0,1.0,0.15056021474084247,51.73355415590686
0,12,4.0,3.0,0.0,-2.7666864773604956,49.49967847057833
0,13,4.0,4.0,1.0,0.06146152222962442,49.477824522220274
0,14,4.0,4.0,1.0,0.5899956685053295,48.9230431979083
0,15,4.0,4.0,1.0,1.8877285514315298,49.13746061024681
0,16,4.0,4.0,1.0,0.4575713742795379,46.62398796250714
0,17,4.0,4.0,1.0,1.5798492770067583,46.66295039464667
0,18,4.0,4.0,1.0,0.8168593973512254,44.81664504440345
0,19,4.0,4.0,1.0,0.8098658879016603,43.7263360643662
0,20,4.0,4.0,1.0,1.4612051514037538,43.29435985728061
0,21,4.0,4.0,1.0,0.5748737668423145,41.32471300213149
0,22,5.0,4.0,0.0,-1.2323782373542196,38.66652376470149
0,23,5.0,5.0,1.0,-0.7407219461010136,37.84248634801279
0,24,5.0,5.0,1.0,1.0712383187834789,38.571131142309596
0,25,5.0,5.0,1.0,-0.709998699022259,35.706578653916175
0,26,5.0,5.0,1.0,0.9150059735647194,36.248267855915465
0,27,5.0,5.0,1.0,-0.691366041729753,33.55858037003331
0,28,5.0,5.0,1.0,-0.7876887999118042,32.37894214126357
0,29,5.0,5.0,1.0,0.2638410050507017,32.34715647563839
0,30,5.0,5.0,1.0,0.5237849298723442,1000.5237849298724
1,1,0.0,0.0,1.0,0.5177730361523654,62.93392168319521
1,2,0.0,0.0,1.0,0.2202802466092065,61.55311342306437
1,3,1.0,0.0,0.0,-1.3189357900977454,59.249517705867476
1,4,1.0,1.0,1.0,0.7262152022546112,59.892417437534405
1,5,1.0,1.0,1.0,0.5165400256718566,58.59942679036397
1,6,1.0,1.0,1.0,-0.08980730082796365,56.909763993276464
1,7,1.0,1.0,1.0,0.5256685940952951,56.44192441761204
1,8,1.0,1.0,1.0,-0.3915211884323932,54.44141916449667
1,9,1.0,1.0,1.0,0.09067243404909488,53.840297316390476
1,10,1.0,1.0,1.0,0.2832426751552976,52.949552086909
